Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
17/05/2022 14:14,1,1,401, , , 
17/05/2022 14:14,1,2, , ,0.005,0.001
17/05/2022 14:15,1,1,401, , , 
17/05/2022 14:15,1,2, , ,0.004,0.001
17/05/2022 14:16,1,1,401, , , 
17/05/2022 14:16,1,2, , ,0,0
17/05/2022 14:17,1,1,399, , , 
17/05/2022 14:17,1,2, , ,0,0
18/05/2022 10:40,1,1,419, , , 
18/05/2022 10:41,1,1,404, , , 
18/05/2022 10:41,1,2, , ,0,0
18/05/2022 10:42,1,1,391, , , 
18/05/2022 10:42,1,2, , ,0.007,0.001
18/05/2022 10:43,1,2, , ,0.004,0.001
18/05/2022 14:33,1,1,401, , , 
18/05/2022 14:33,1,2, , ,0,0
18/05/2022 14:34,1,1,394, , , 
18/05/2022 14:34,1,2, , ,0.014,0.001
18/05/2022 14:35,1,1,394, , , 
18/05/2022 14:35,1,2, , ,0.001,0.001
18/05/2022 14:36,1,1,391, , , 
18/05/2022 14:36,1,2, , ,0,0
18/05/2022 14:37,1,1,394, , , 
18/05/2022 14:37,1,2, , ,0,0
18/05/2022 14:38,1,1,396, , , 
18/05/2022 14:38,1,2, , ,0,0
18/05/2022 14:39,1,1,391, , , 
18/05/2022 14:39,1,2, , ,0.001,0.001
18/05/2022 14:40,1,1,391, , , 
18/05/2022 14:40,1,2, , ,0.001,0.001
18/05/2022 14:41,1,1,391, , , 
18/05/2022 14:41,1,2, , ,0,0
18/05/2022 14:42,1,1,394, , , 
18/05/2022 14:42,1,2, , ,0,0
18/05/2022 14:43,1,1,394, , , 
18/05/2022 14:43,1,2, , ,0,0
18/05/2022 14:44,1,1,391, , , 
18/05/2022 14:44,1,2, , ,0.001,0.001
18/05/2022 14:45,1,1,394, , , 
18/05/2022 14:45,1,2, , ,0.003,0.001
18/05/2022 14:46,1,1,391, , , 
18/05/2022 14:46,1,2, , ,0,0
18/05/2022 14:47,1,1,394, , , 
18/05/2022 14:47,1,2, , ,0.001,0.001
18/05/2022 14:48,1,1,396, , , 
18/05/2022 14:48,1,2, , ,0.001,0.001
18/05/2022 14:49,1,1,394, , , 
18/05/2022 14:49,1,2, , ,0.001,0
18/05/2022 14:50,1,1,394, , , 
18/05/2022 14:50,1,2, , ,0,0
18/05/2022 14:51,1,1,396, , , 
18/05/2022 14:51,1,2, , ,0.001,0.001
18/05/2022 14:52,1,1,394, , , 
18/05/2022 14:52,1,2, , ,0.001,0
18/05/2022 14:53,1,1,394, , , 
18/05/2022 14:53,1,2, , ,0,0
18/05/2022 14:54,1,1,396, , , 
18/05/2022 14:54,1,2, , ,0.001,0.001
18/05/2022 14:55,1,1,396, , , 
18/05/2022 14:55,1,2, , ,0.002,0.001
18/05/2022 14:56,1,1,394, , , 
18/05/2022 14:56,1,2, , ,0,0
18/05/2022 14:57,1,1,394, , , 
18/05/2022 14:57,1,2, , ,0.001,0.001
18/05/2022 14:58,1,1,396, , , 
18/05/2022 14:58,1,2, , ,0,0
18/05/2022 14:59,1,1,396, , , 
18/05/2022 14:59,1,2, , ,0.002,0.001
18/05/2022 15:00,1,1,394, , , 
18/05/2022 15:00,1,2, , ,0.001,0.001
18/05/2022 15:01,1,1,394, , , 
18/05/2022 15:01,1,2, , ,0.001,0
18/05/2022 15:02,1,1,391, , , 
18/05/2022 15:02,1,2, , ,0.002,0.001
18/05/2022 15:08,1,1,391, , , 
18/05/2022 15:08,1,2, , ,0,0
18/05/2022 15:09,1,1,394, , , 
18/05/2022 15:09,1,2, , ,0.001,0.001
18/05/2022 15:10,1,1,396, , , 
18/05/2022 15:10,1,2, , ,0.001,0.001
18/05/2022 15:11,1,1,396, , , 
18/05/2022 15:11,1,2, , ,0,0
